t,q1,q2,q3,q4,q5,q6
1.680361,-0.345808,0.604829,-0.465209,-0.370222,-0.009728,-0.005531
1.690417,-0.346189,0.604829,-0.465972,-0.369078,-0.009728,-0.005531
1.700479,-0.346189,0.604829,-0.467498,-0.366789,-0.009728,-0.005531
1.710539,-0.346571,0.604829,-0.468261,-0.365263,-0.009728,-0.005531
1.720593,-0.346952,0.604829,-0.469406,-0.363737,-0.009346,-0.005531
1.730653,-0.346952,0.604829,-0.470169,-0.362974,-0.009346,-0.005531
1.740751,-0.347333,0.604448,-0.471695,-0.361448,-0.009346,-0.005531
1.750804,-0.347715,0.604448,-0.472457,-0.360304,-0.009346,-0.005531
1.760855,-0.348096,0.604448,-0.473602,-0.358778,-0.009346,-0.005531
1.770908,-0.348859,0.604448,-0.474365,-0.357252,-0.009346,-0.005531
1.780959,-0.349241,0.604448,-0.475128,-0.356870,-0.009346,-0.005531
1.791011,-0.350385,0.604448,-0.475891,-0.355344,-0.008965,-0.005531
1.801064,-0.350767,0.604448,-0.476654,-0.354200,-0.008965,-0.005531
1.811116,-0.351148,0.604448,-0.478561,-0.352293,-0.008965,-0.005531
1.821168,-0.351530,0.604067,-0.479706,-0.350767,-0.008965,-0.005531
1.831219,-0.351911,0.604067,-0.480468,-0.348478,-0.008965,-0.005531
1.841271,-0.352293,0.604067,-0.481613,-0.346571,-0.008965,-0.005531
1.851322,-0.352674,0.604067,-0.482757,-0.344282,-0.008965,-0.005531
1.861349,-0.353056,0.603685,-0.483520,-0.343137,-0.008965,-0.005531
1.871400,-0.353819,0.603304,-0.484665,-0.340848,-0.007820,-0.005531
1.881453,-0.354582,0.603304,-0.485809,-0.339322,-0.005913,-0.005531
1.891506,-0.356107,0.602922,-0.486954,-0.337415,-0.000954,-0.005531
1.901572,-0.357252,0.602922,-0.487716,-0.335889,0.003243,-0.005531
1.911632,-0.358396,0.602922,-0.488861,-0.333219,0.008583,-0.005531
1.921694,-0.359159,0.602922,-0.489624,-0.331693,0.010491,-0.005531
1.931754,-0.359922,0.602922,-0.491150,-0.329023,0.011254,-0.005531
1.941817,-0.360304,0.602922,-0.492294,-0.327115,0.012779,-0.005531
1.951876,-0.360304,0.602922,-0.493057,-0.325208,0.014687,-0.005531
1.961936,-0.360685,0.602541,-0.494583,-0.322919,0.017357,-0.005531
1.971997,-0.361067,0.602159,-0.495346,-0.321012,0.018502,-0.005531
1.982058,-0.361830,0.601396,-0.496109,-0.318341,0.020027,-0.005531
1.992119,-0.362211,0.600633,-0.496490,-0.317197,0.020790,-0.005531
2.002182,-0.362974,0.599489,-0.497253,-0.314527,0.022316,-0.005531
