t,q1,q2,q3,q4,q5,q6
1.106516,0.014058,-0.000905,0.045354,0.023370,-0.002937,-0.002807
1.116581,0.014126,-0.000852,0.044840,0.022687,-0.003002,-0.002824
1.126642,0.014197,-0.000795,0.044336,0.021990,-0.003071,-0.002842
1.136709,0.014271,-0.000735,0.043459,0.021281,-0.003142,-0.002862
1.146776,0.014348,-0.000670,0.042972,0.020558,-0.003216,-0.002881
1.156841,0.014047,-0.000219,0.042114,0.019821,-0.003294,-0.002902
1.166908,0.014130,-0.000146,0.042410,0.019070,-0.003374,-0.002924
1.176974,0.014217,-0.000449,0.041951,0.018306,-0.003458,-0.002946
1.187041,0.013926,-0.000366,0.041884,0.017528,-0.003546,-0.002970
1.197106,0.014020,-0.000279,0.041063,0.016736,-0.003637,-0.002994
1.207168,0.014118,-0.000186,0.041395,0.015929,-0.003731,-0.003019
1.217229,0.014219,-0.000088,0.040592,0.015490,-0.003829,-0.003046
1.227295,0.014325,0.000015,0.040561,0.014654,-0.003931,-0.003073
1.237356,0.014434,0.000123,0.040536,0.013809,-0.004036,-0.003101
1.247418,0.014548,0.000238,0.040908,0.012941,-0.004147,-0.003131
1.257478,0.014284,0.000358,0.040901,0.012064,-0.004260,-0.003161
1.267531,0.014406,0.000484,0.040906,0.011171,-0.004378,-0.003193
1.277584,0.014533,0.000616,0.040921,0.010261,-0.004501,-0.003226
1.287638,0.014665,0.000755,0.040944,0.009336,-0.004628,-0.003260
1.297694,0.014420,0.000900,0.040595,0.008395,-0.004760,-0.003295
1.307748,0.014179,0.001052,0.040637,0.007439,-0.004896,-0.003332
1.317801,0.014326,0.001211,0.040687,0.006467,-0.005038,-0.003369
1.327854,0.014477,0.001377,0.040746,0.005480,-0.005184,-0.003409
1.337918,0.014252,0.001549,0.041191,0.004481,-0.005335,-0.003449
1.347981,0.014415,0.001730,0.041270,0.003458,-0.005492,-0.003491
1.358043,0.014582,0.001918,0.041733,0.002427,-0.005653,-0.003534
1.368105,0.014755,0.002113,0.042207,0.001376,-0.005821,-0.003579
1.378169,0.014935,0.002317,0.042689,0.000308,-0.005994,-0.003626
1.388234,0.015120,0.002529,0.042799,-0.000776,-0.006173,-0.003674
1.398298,0.014930,0.002749,0.042917,-0.001877,-0.006358,-0.003723
1.408353,0.015127,0.002976,0.043039,-0.002608,-0.006548,-0.003774
1.418417,0.015331,0.003213,0.043554,-0.003741,-0.006746,-0.003827
1.428480,0.015160,0.003460,0.044077,-0.004891,-0.006949,-0.003882
1.438544,0.015378,0.003715,0.044227,-0.006059,-0.007159,-0.003938
1.448605,0.015221,0.003979,0.044384,-0.007244,-0.007376,-0.003996
1.458669,0.015452,0.004252,0.044546,-0.008441,-0.007599,-0.004056
1.468732,0.015690,0.004536,0.043954,-0.009658,-0.007830,-0.004118
1.478794,0.015937,0.004829,0.043753,-0.010894,-0.008067,-0.004181
1.488848,0.016190,0.005133,0.043558,-0.012147,-0.008313,-0.004247
1.498911,0.016452,0.005446,0.043752,-0.013417,-0.008565,-0.004315
1.508973,0.016720,0.005769,0.044332,-0.014319,-0.008824,-0.004384
1.519034,0.016616,0.006104,0.044157,-0.014860,-0.009092,-0.004456
1.529098,0.016902,0.006068,0.044372,-0.015420,-0.009368,-0.004530
1.539159,0.017196,0.006424,0.044593,-0.016760,-0.009652,-0.004606
1.549222,0.017498,0.006791,0.044817,-0.018113,-0.009944,-0.004684
1.559290,0.017809,0.007170,0.045050,-0.019487,-0.010244,-0.004765
1.569353,0.017748,0.007560,0.045290,-0.020880,-0.010554,-0.004848
1.579414,0.018078,0.007963,0.045155,-0.022290,-0.010872,-0.004933
1.589475,0.018416,0.008376,0.045403,-0.023714,-0.011199,-0.005020
1.599539,0.018382,0.008802,0.045278,-0.024777,-0.011535,-0.005111
1.609601,0.018740,0.009241,0.045922,-0.025478,-0.011881,-0.005203
1.619664,0.018726,0.009309,0.045043,-0.025429,-0.012236,-0.005298
1.629727,0.019104,0.009773,0.045315,-0.026164,-0.012601,-0.005396
1.639787,0.019111,0.010250,0.044448,-0.025773,-0.012976,-0.005497
1.649851,0.019509,0.010739,0.044728,-0.025777,-0.013360,-0.005600
1.659912,0.019155,0.011242,0.044251,-0.025421,-0.013756,-0.005706
1.669975,0.019194,0.011759,0.044161,-0.025847,-0.014162,-0.005814
1.680036,0.018863,0.012290,0.044075,-0.025146,-0.014579,-0.005926
1.690099,0.018924,0.012833,0.043990,-0.024839,-0.014624,-0.006041
1.700151,0.018234,0.013391,0.043530,-0.024553,-0.015063,-0.006158
1.710216,0.018319,0.013963,0.043836,-0.024668,-0.015514,-0.006279
1.720277,0.018033,0.014549,0.044143,-0.024795,-0.015975,-0.006403
1.730340,0.017760,0.015150,0.043692,-0.023799,-0.016448,-0.006529
1.740401,0.017880,0.015765,0.044004,-0.023961,-0.016933,-0.006659
1.750463,0.017633,0.016014,0.044322,-0.023763,-0.017430,-0.006793
1.760525,0.017780,0.016660,0.044642,-0.023965,-0.017941,-0.006930
1.770589,0.017938,0.016557,0.044580,-0.024179,-0.018463,-0.007069
1.780651,0.018111,0.016852,0.044904,-0.025177,-0.018998,-0.007213
1.790714,0.018298,0.017163,0.045611,-0.025429,-0.019166,-0.007360
1.800775,0.018116,0.017870,0.045554,-0.026457,-0.019727,-0.007510
1.810835,0.017568,0.018212,0.045500,-0.025980,-0.019921,-0.007665
1.820899,0.017795,0.018569,0.045826,-0.026278,-0.020509,-0.007822
1.830959,0.017657,0.018943,0.046155,-0.026215,-0.020731,-0.007984
1.841022,0.017915,0.018953,0.046485,-0.026552,-0.020586,-0.008150
1.851086,0.018186,0.018596,0.046049,-0.025755,-0.020072,-0.008319
1.861151,0.018856,0.018639,0.045997,-0.025741,-0.020719,-0.008111
1.871214,0.019540,0.018696,0.045941,-0.024595,-0.021379,-0.008288
1.881277,0.020240,0.018773,0.046269,-0.024613,-0.022056,-0.008469
1.891295,0.020574,0.018483,0.046593,-0.024261,-0.022747,-0.008655
1.901351,0.021307,0.018212,0.047299,-0.024692,-0.023074,-0.008844
1.911404,0.022055,0.017193,0.047239,-0.024752,-0.023414,-0.009038
1.921467,0.022821,0.017338,0.047941,-0.025213,-0.023010,-0.009236
1.931529,0.023605,0.017502,0.048642,-0.026072,-0.022241,-0.009439
1.941590,0.024022,0.017299,0.048575,-0.026177,-0.020342,-0.009646
1.951649,0.024077,0.017879,0.048888,-0.026301,-0.019607,-0.009858
1.961713,0.024148,0.017711,0.048814,-0.025672,-0.019268,-0.010074
1.971773,0.024239,0.017564,0.049120,-0.025825,-0.018567,-0.010295
1.981836,0.023584,0.017433,0.049039,-0.025224,-0.015974,-0.010521
1.991898,0.023330,0.017703,0.048956,-0.025785,-0.014545,-0.010752
2.001960,0.023093,0.017227,0.048484,-0.024830,-0.013515,-0.010987
2.012023,0.022878,0.017534,0.048773,-0.024654,-0.014030,-0.011228
2.022083,0.022298,0.016713,0.048292,-0.024106,-0.014944,-0.011473
2.032145,0.022119,0.016673,0.048567,-0.023951,-0.015495,-0.011723
2.042208,0.021962,0.017036,0.048458,-0.023814,-0.016450,-0.011979
2.052274,0.022205,0.017415,0.048340,-0.024447,-0.017040,-0.008425
2.062294,0.022471,0.017815,0.048218,-0.024333,-0.018033,-0.008692
2.072349,0.022755,0.018613,0.048087,-0.024608,-0.019045,-0.008582
2.082410,0.022681,0.018669,0.047569,-0.024136,-0.020079,-0.008859
2.092472,0.023008,0.018742,0.047423,-0.024433,-0.021131,-0.009142
2.102534,0.022596,0.018836,0.046890,-0.023218,-0.021825,-0.009430
2.112598,0.022966,0.019710,0.046728,-0.023536,-0.022157,-0.009724
2.122664,0.022598,0.019460,0.046560,-0.022723,-0.020223,-0.010024
2.132729,0.022631,0.019609,0.046761,-0.023822,-0.019835,-0.010330
2.142792,0.022687,0.019776,0.046954,-0.024930,-0.019850,-0.010641
2.152855,0.022387,0.018821,0.047138,-0.024526,-0.020652,-0.010959
2.162907,0.022871,0.019409,0.047693,-0.025270,-0.021857,-0.011283
2.172959,0.023000,0.019636,0.047094,-0.025645,-0.023086,-0.011613
2.183011,0.023531,0.020262,0.047246,-0.026024,-0.024337,-0.011949
2.193062,0.023705,0.020906,0.047005,-0.026027,-0.025610,-0.012291
2.203114,0.023907,0.021190,0.047136,-0.027187,-0.026910,-0.012641
2.213166,0.024130,0.020729,0.046872,-0.027204,-0.027849,-0.012996
2.223215,0.024382,0.021433,0.046979,-0.027614,-0.028816,-0.013358
2.233267,0.024656,0.021391,0.045927,-0.026880,-0.028660,-0.013727
