t,q1,q2,q3,q4,q5,q6
1.010000,-0.349791,0.611422,-0.454798,-0.418423,0.000701,0.000188
1.020000,-0.349835,0.611400,-0.455336,-0.417863,0.000743,0.000199
1.030000,-0.349880,0.611376,-0.455883,-0.417292,0.000787,0.000211
1.040000,-0.349928,0.611349,-0.456439,-0.416710,0.000833,0.000223
1.050000,-0.349978,0.611319,-0.457004,-0.416115,0.000881,0.000236
1.060000,-0.350030,0.611287,-0.457579,-0.415507,0.000931,0.000250
1.070000,-0.350085,0.611251,-0.458162,-0.414888,0.000984,0.000264
1.080000,-0.350142,0.611212,-0.458756,-0.414256,0.001039,0.000278
1.090000,-0.350201,0.611170,-0.459358,-0.413612,0.001097,0.000294
1.100000,-0.350264,0.611124,-0.459970,-0.412954,0.001157,0.000310
1.110000,-0.350329,0.611075,-0.460591,-0.412284,0.001220,0.000327
1.120000,-0.350397,0.611022,-0.461221,-0.411601,0.001286,0.000344
1.130000,-0.350468,0.610966,-0.461861,-0.410905,0.001354,0.000363
1.140000,-0.350542,0.610905,-0.462510,-0.410195,0.001425,0.000382
1.150000,-0.350619,0.610840,-0.463168,-0.409472,0.001500,0.000402
1.160000,-0.350699,0.610771,-0.463835,-0.408735,0.001577,0.000423
1.170000,-0.350782,0.610697,-0.464512,-0.407985,0.001658,0.000444
1.180000,-0.350869,0.610619,-0.465198,-0.407221,0.001742,0.000467
1.190000,-0.350959,0.610536,-0.465894,-0.406442,0.001829,0.000490
1.200000,-0.351053,0.610449,-0.466598,-0.405650,0.001920,0.000514
1.210000,-0.351151,0.610356,-0.467312,-0.404844,0.002014,0.000540
1.220000,-0.351253,0.610258,-0.468036,-0.404023,0.002112,0.000566
1.230000,-0.351358,0.610155,-0.468768,-0.403187,0.002214,0.000593
1.240000,-0.351467,0.610047,-0.469505,-0.402341,0.002320,0.000622
1.250000,-0.351581,0.609932,-0.470258,-0.401474,0.002430,0.000651
1.260000,-0.351699,0.609812,-0.471015,-0.400597,0.002543,0.000682
1.270000,-0.351821,0.609686,-0.471783,-0.399704,0.002662,0.000713
1.280000,-0.351948,0.609554,-0.472560,-0.398794,0.002784,0.000746
1.290000,-0.352080,0.609415,-0.473347,-0.397869,0.002911,0.000780
1.300000,-0.352216,0.609270,-0.474142,-0.396928,0.003043,0.000815
